상호명,지점명,상권업종중분류코드,도로명주소,경도,위도,시,구,ID
이디야커피,강릉교동점,Q12,강원도 강릉시 솔올로 39,128.87793521029698,37.765551185268706,강원도,강릉시,강릉
이디야커피,강원양구점,Q12,강원도 양구군 양구읍 중앙길 10,127.989129950762,38.1070912779916,강원도,양구군,양구
이디야커피,원통점,Q12,강원도 인제군 북면 금강로 5,128.208209765625,38.121386272441505,강원도,인제군,인제
이디야커피,석사점,Q12,강원도 춘천시 퇴계농공로 10,127.744020389716,37.8523939937387,강원도,춘천시,춘천
이디야커피,강원화천점,Q12,강원도 화천군 화천읍 상승로 42-7,127.70440827187299,38.1046657329467,강원도,화천군,화천
이디야커피,,Q12,강원도 강릉시 경강로 2120,128.898631873341,37.7557001986643,강원도,강릉시,강릉
이디야커피,강릉중앙점,Q12,강원도 강릉시 금성로 58,128.894945182937,37.752061091830605,강원도,강릉시,강릉
이디야커피,퇴계점,Q12,강원도 춘천시 퇴계로93번길 15,127.731594915031,37.863196725647796,강원도,춘천시,춘천
이디야커피,흥업점,Q12,강원도 원주시 흥업면 남원로 85,127.919938977785,37.3037451851204,강원도,원주시,원주
이디야커피,동송터미널점,Q12,강원도 철원군 동송읍 이평1로 1,127.218471424671,38.2071850924796,강원도,철원군,철원
이디야커피,,Q12,강원도 홍천군 홍천읍 홍천로 321,127.880737227329,37.6889817341284,강원도,홍천군,홍천
이디야커피,춘천현대점,Q12,강원도 춘천시 춘천로269번길 1,127.743026449496,37.8801075177451,강원도,춘천시,춘천
이디야커피,춘천온의롯데캐슬점,Q12,강원도 춘천시 방송길 70,127.71661168683,37.8701355893306,강원도,춘천시,춘천
이디야커피,속초중앙점,Q12,강원도 속초시 수복로 197-1,128.588616976319,38.205292538853705,강원도,속초시,속초
이디야커피,연봉점,Q12,강원도 홍천군 홍천읍 연봉로 32,127.877233767679,37.6819949260026,강원도,홍천군,홍천
이디야커피인제점인제점,인제점,Q12,강원도 인제군 인제읍 인제로 200-1,128.172673756114,38.0691320377556,강원도,인제군,인제
이디야커피,거두점,Q12,강원도 춘천시 동내면 춘천순환로 134,127.758756897192,37.8565157902657,강원도,춘천시,춘천
이디야커피,원주터미널점,Q12,강원도 원주시 서원대로 168,127.930088082608,37.343941375563105,강원도,원주시,원주
이디야커피,속초해수욕장점,Q12,강원도 속초시 해오름로 137,128.604996953427,38.1867484083806,강원도,속초시,속초
이디야커피,,Q12,강원도 춘천시 영서로 2260,127.72389748577,37.8640439177235,강원도,춘천시,춘천
이디야커피,속초교동점,Q12,강원도 속초시 중앙로 44,128.581392134394,38.1999047019816,강원도,속초시,속초
이디야커피,원주태장점,Q12,강원도 원주시 흥양로51번길 11,127.95289521969299,37.3848450069217,강원도,원주시,원주
이디야커피,거두사거리점,Q12,강원도 춘천시 동내면 춘천순환로 70,127.75163544886298,37.8553476651359,강원도,춘천시,춘천
이디야커피홍천제일점,홍천제일점,Q12,강원도 홍천군 홍천읍 공작산로 45,127.89777525973999,37.6918450800355,강원도,홍천군,홍천
이디야커피,,Q12,강원도 원주시 건강로 23,127.987821811764,37.325326362576,강원도,원주시,원주
이디야커피장학점,장학점,Q12,강원도 춘천시 동면 춘천로449번길 30,127.75368599653,37.89480803256679,강원도,춘천시,춘천
이디야커피낙원점,낙원점,Q12,강원도 춘천시 중앙로 110,127.722564531047,37.8770246148814,강원도,춘천시,춘천
이디야커피,춘천제일점,Q12,강원도 춘천시 춘주로 89,127.71984690611099,37.8622322898941,강원도,춘천시,춘천
이디야커피,,Q12,강원도 인제군 남면 모루박길 17-46,128.095524406341,37.9880933741175,강원도,인제군,인제
이디야커피,강원도청점,Q12,강원도 춘천시 서부대성로 44,127.72788457408001,37.883173029825,강원도,춘천시,춘천
이디야커피강릉올림픽선수촌점,강릉올림픽선수촌점,Q12,강원도 강릉시 선수촌로 79-15,128.868708117408,37.757825720335,강원도,강릉시,강릉
이디야커피,중앙점,Q12,강원도 원주시 무실로12번길 33,127.947781198558,37.3500059818461,강원도,원주시,원주
이디야커피,원주법원점,Q12,강원도 원주시 능라동길 48-1,127.92971348461599,37.334128029001796,강원도,원주시,원주
이디야커피,단관점,Q12,강원도 원주시 단구로 387,127.956466043778,37.3221560647091,강원도,원주시,원주
이디야커피,옥천점,Q12,강원도 강릉시 옥천로 62,128.899180775457,37.7597956582079,강원도,강릉시,강릉
양양이디야,,Q12,강원도 양양군 양양읍 양양로 72,128.621332523488,38.0751129130434,강원도,양양군,양양
이디야커피,강원양양점,Q12,강원도 양양군 양양읍 양양로 72,128.621332523488,38.0751129130434,강원도,양양군,양양
이디야커피,동해천곡점,Q12,강원도 동해시 한섬로 112,129.116011293731,37.5209906539625,강원도,동해시,동해
이디야춘천,,Q12,강원도 춘천시 시청길10번길 4-1,127.72857804168999,37.880075095768795,강원도,춘천시,춘천
이디야커피,춘천애막골점,Q12,강원도 춘천시 후석로 110,127.74764328740801,37.8630069547065,강원도,춘천시,춘천
이디야커피,경동대점,Q12,강원도 고성군 토성면 봉포4길 18,128.5617284752,38.2529682486936,강원도,고성군,고성(경남)
이디야커피,삼척교동점,Q12,강원도 삼척시 청석로 59,129.17547163541,37.4481953319909,강원도,삼척시,삼척
이디야커피,강릉내곡점,Q12,강원도 강릉시 범일로 601,128.879963005235,37.741271512955706,강원도,강릉시,강릉
이디야커피,춘천점,Q12,강원도 춘천시 시청길10번길 4-1,127.72857804168999,37.880075095768795,강원도,춘천시,춘천
이디야커피,춘천공지천점,Q12,강원도 춘천시 수변공원길 11,127.707305657305,37.872257272540395,강원도,춘천시,춘천
이디야커피,춘천장학점,Q12,강원도 춘천시 동면 춘천로449번길 11,127.753814997447,37.8936279582574,강원도,춘천시,춘천
이디야커피,속초대포항점,Q12,강원도 속초시 동해대로 3741,128.605698588122,38.169464142769996,강원도,속초시,속초
이디야커피,원주반곡동점,Q12,강원도 원주시 오리현길 16-9,127.96777613834499,37.3386681088354,강원도,원주시,원주
이디야커피,세인트존스경포호텔점,Q12,강원도 강릉시 창해로 307,128.920907730533,37.7912986352446,강원도,강릉시,강릉
이디야커피,엑스포점,Q12,강원도 속초시 엑스포로 45,128.586321688389,38.1910236496909,강원도,속초시,속초
이디야커피,춘천의암호점,Q12,강원도 춘천시 서면 박사로 734,127.68337203939501,37.884485355060896,강원도,춘천시,춘천
이디야커피,강원평창점,Q12,강원도 평창군 평창읍 평창중앙로 55,128.395345459514,37.3683522264481,강원도,평창군,평창
이디야커피,속초조양동점,Q12,강원도 속초시 조양로 213,128.577025013424,38.189051526902205,강원도,속초시,속초
이디야커피,강릉역점,Q12,강원도 강릉시 용지로 174-6,128.90024021381902,37.7638691928094,강원도,강릉시,강릉
이디야커피,태백중앙점,Q12,강원도 태백시 번영로 349,128.991440647006,37.171970850877294,강원도,태백시,태백
이디야커피,춘천사우중앙점,Q12,강원도 춘천시 충열로 153,127.739317829219,37.906670620072106,강원도,춘천시,춘천
이디야커피,강릉강문해변점,Q12,강원도 강릉시 창해로 375,128.916217000791,37.7957681981455,강원도,강릉시,강릉
이디야커피,상지대점,Q12,강원도 원주시 상지대길 84,127.929959823749,37.372659688666396,강원도,원주시,원주
이디야커피,강원둔내점,Q12,강원도 횡성군 둔내면 둔방로3번길 3,128.211553174989,37.512999138245895,강원도,횡성군,횡성
이디야커피,강릉사천점,Q12,강원도 강릉시 사천면 진리해변길 68-14,128.876178081789,37.837825739126004,강원도,강릉시,강릉
이디야커피,춘천사농동점,Q12,강원도 춘천시 사우로 38,127.728741859865,37.906691774209705,강원도,춘천시,춘천
이디야커피,속초동명항점,Q12,강원도 속초시 동명항길 49,128.599415864663,38.2119320933181,강원도,속초시,속초
이디야커피,주문진점,Q12,강원도 강릉시 주문진읍 항구로 50,128.82694396070102,37.89317031994371,강원도,강릉시,강릉
이디야커피,정동진역점,Q12,강원도 강릉시 강동면 정동역길 17,129.032806594647,37.691349343058896,강원도,강릉시,강릉
이디야커피,강릉입암남부점,Q12,강원도 강릉시 성덕포남로 74,128.917800509714,37.7613009895965,강원도,강릉시,강릉
이디야커피,강릉터미널점,Q12,강원도 강릉시 하슬라로 24,128.879243068134,37.7552247334072,강원도,강릉시,강릉
이디야커피,대관령점,Q12,강원도 평창군 대관령면 눈마을길 11,128.70984189281901,37.669335440534,강원도,평창군,평창
이디야커피,속초로데오점,Q12,강원도 속초시 중앙로 127,128.589955609419,38.2027991457165,강원도,속초시,속초
이디야커피,강원정선점,Q12,강원도 정선군 정선읍 비봉로 55,128.66437830789602,37.3813302494612,강원도,정선군,정선
이디야커피,춘천삭주로점,Q12,강원도 춘천시 삭주로 197-1,127.752143393644,37.8869118021163,강원도,춘천시,춘천
빽다방,,Q12,강원도 원주시 무실로12번길 33,127.947781198558,37.3500059818461,강원도,원주시,원주
빽다방,춘천석사CGV점,Q12,강원도 춘천시 지석로 85,127.74483157673299,37.8511252984256,강원도,춘천시,춘천
빽다방,강릉금학점,Q12,강원도 강릉시 신대학길 14,128.894954081206,37.7527998624499,강원도,강릉시,강릉
빽다방,삼척대학로점,Q12,강원도 삼척시 대학로 23-8,129.163076834853,37.4432811058981,강원도,삼척시,삼척
빽다방,원주단구GS점,Q12,강원도 원주시 남원로534번길 20,127.94867497082599,37.3303891369222,강원도,원주시,원주
빽다방,강원대점,Q12,강원도 춘천시 서부대성로239번길 4,127.74491527683399,37.873002509237,강원도,춘천시,춘천
빽다방,원주중앙1호점,Q12,강원도 원주시 원일로115번길 6,127.94793934118401,37.3498348403043,강원도,원주시,원주
빽다방,삼척대학로점,Q12,강원도 삼척시 대학로 23,129.163178666434,37.4432891142107,강원도,삼척시,삼척
빽다방,춘천명동점,Q12,강원도 춘천시 중앙로67번길 18,127.72774545171002,37.877730500702704,강원도,춘천시,춘천
빽다방강릉교동중앙점,강릉교동중앙점,Q12,강원도 강릉시 솔올로 51,128.87819831139,37.7666845115752,강원도,강릉시,강릉
빽다방동해천곡점,동해천곡점,Q12,강원도 동해시 한섬로 111-7,129.115249607932,37.5222593064486,강원도,동해시,동해
빽다방,홍천중앙점,Q12,강원도 홍천군 홍천읍 꽃뫼로 99,127.88467907435499,37.6915626834471,강원도,홍천군,홍천
빽다방,,Q12,강원도 원주시 원일로 115,127.948108472824,37.3500962370253,강원도,원주시,원주
빽다방,춘천명동씨지브이점,Q12,강원도 춘천시 명동길 15-1,127.72705855511101,37.8790444112726,강원도,춘천시,춘천
빽다방,원주혁신도시점,Q12,강원도 원주시 혁신로 61,127.98082636437599,37.323397048067,강원도,원주시,원주
스타벅스,수원이마트점,Q12,경기도 수원시 권선구 경수대로 270,127.020087664145,37.2501017782401,경기도,수원시,수원
스타벅스,,Q12,경기도 김포시 김포한강11로 288-24,126.683329055879,37.654247307349,경기도,김포시,김포
스타벅스,현대킨텍스점,Q12,경기도 고양시 일산서구 호수로 817,126.751616105658,37.6679823561386,경기도,고양시,고양
스타벅스정자,정자점,Q12,경기도 성남시 분당구 정자일로 166,127.10629219693399,37.364879690318,경기도,성남시,성남
스타벅스평촌역사거리점,평촌역사거리점,Q12,경기도 안양시 동안구 시민대로 311,126.964668495517,37.3960821601934,경기도,안양시,안양
스타벅스,단대오거리역점,Q12,경기도 성남시 중원구 산성대로 340-1,127.154576016315,37.4433580851162,경기도,성남시,성남
스타벅스,구리인창점,Q12,경기도 구리시 건원대로 67,127.138865274352,37.6069309398692,경기도,구리시,구리
스타벅스,수원광교점,Q12,경기도 수원시 영통구 센트럴타운로 85,127.05120391333901,37.290120339692294,경기도,수원시,수원
스타벅스,판교하이펙스,Q12,경기도 성남시 분당구 판교역로 230,127.11044579092,37.401278507530606,경기도,성남시,성남
스타벅스경기광주점,경기광주점,Q12,경기도 광주시 광주대로 35,127.26020005832599,37.409735243374904,경기도,광주시,광주
스타벅스동수원,,Q12,경기도 수원시 팔달구 중부대로 161,127.03389894210699,37.2781130343329,경기도,수원시,수원
스타벅스커피분당서울대병원4층,,Q12,경기도 성남시 분당구 구미로173번길 82,127.124470630558,37.3520220371583,경기도,성남시,성남
스타벅스,수지풍덕천점,Q12,경기도 용인시 수지구 수지로296번길 51-11,127.095266677789,37.3222016808726,경기도,용인시,용인
스타벅스판교하이펙스,,Q12,경기도 성남시 분당구 판교역로 240,127.110447392748,37.4020984979811,경기도,성남시,성남
스타벅스,신세계죽전점,Q12,경기도 용인시 수지구 포은대로 536,127.108096227685,37.3249933296323,경기도,용인시,용인
스타벅스,오산아이씨디티점,Q12,경기도 오산시 원동로 74,127.076848689491,37.142308336914795,경기도,오산시,오산
스타벅스야탑글라스,,Q12,경기도 성남시 분당구 성남대로916번길 11,127.129829942146,37.4108480040811,경기도,성남시,성남
스타벅스,광명하안점,Q12,경기도 광명시 범안로 1060,126.880646185624,37.462598327452795,경기도,광명시,광명
스타벅스,산본역점,Q12,경기도 군포시 번영로 497,126.93228249093,37.3583097992139,경기도,군포시,군포
스타벅스,화정역,Q12,경기도 고양시 덕양구 화신로260번길 57,126.832721991985,37.6336102001311,경기도,고양시,고양
스타벅스,수내로점,Q12,경기도 성남시 분당구 수내로46번길 12,127.11658679513201,37.380392525885604,경기도,성남시,성남
스타벅스부천역사,부천역사,Q12,경기도 부천시 부천로 1,126.78263424711001,37.4840290791579,경기도,부천시,부천
스타벅스,수원시청점,Q12,경기도 수원시 권선구 효원로 274,127.031214826476,37.2614209425035,경기도,수원시,수원
스타벅스,일산백마점,Q12,경기도 고양시 일산동구 일산로 237,126.788064183267,37.6571088791044,경기도,고양시,고양
스타벅스,시화로데오점,Q12,경기도 시흥시 중심상가2길 20-5,126.73732894675899,37.3446575868247,경기도,시흥시,시흥
스타벅스,양주고읍점,Q12,경기도 양주시 고읍남로 20,127.079089929697,37.79465939687479,경기도,양주시,양주
스타벅스,안양1번가점,Q12,경기도 안양시 만안구 안양로292번길 36,126.92369516915501,37.39918538578979,경기도,안양시,안양
스타벅스,화정점,Q12,경기도 고양시 덕양구 화신로272번길 57,126.83143160384199,37.633534354678204,경기도,고양시,고양
스타벅스김포풍무DT,김포풍무DT,Q12,경기도 김포시 풍무로 45-1,126.72050182595,37.599955990565796,경기도,김포시,김포
스타벅스,산본점,Q12,경기도 군포시 산본로343번길 9,126.93174189577499,37.3606116540182,경기도,군포시,군포
스타벅스,평촌로데오점,Q12,경기도 안양시 동안구 관평로 182,126.960702698023,37.3929296814883,경기도,안양시,안양
스타벅스,오산시청점,Q12,경기도 오산시 성호대로 116,127.07420621303001,37.1485504490323,경기도,오산시,오산
