,상호명,지점명,상권업종중분류코드,도로명주소,경도,위도
1335,커피빈,코리아신촌현대백화점점,Q12,서울특별시 서대문구 신촌로 83,126.93582782049101,37.556069154454
1359,티마인드,,Q12,서울특별시 강남구 압구정로50길 18,127.037709927511,37.5272178772065
1368,롯데시네마김포공항엔제리너스,,Q12,서울특별시 강서구 하늘길 38,126.80076003963,37.565956225529796
1372,보나비아티제,서울호텔점,Q12,서울특별시 중구 동호로 249,127.007686128987,37.557749193638394
1393,미루카페,,Q12,서울특별시 성북구 동소문로20길 28-3,127.016459988786,37.5911521899295
1395,cafeIYA,,Q12,서울특별시 강남구 강남대로58길 61,127.036822787417,37.490609823898396
1397,더메디라운지,,Q12,서울특별시 서초구 강남대로107길 6,127.01806972280501,37.518559303755204
1398,투썸플레이스압구정51케이,,Q12,서울특별시 강남구 압구정로30길 45,127.02938641891701,37.52433848317379
1399,고디바_,가로수길점,Q12,서울특별시 강남구 압구정로12길 45,127.02300395116501,37.5210060306711
1409,수피아,,Q12,서울특별시 영등포구 도신로 31,126.894813409666,37.5061080966751
1415,모리나리까페,,Q12,서울특별시 중구 소공로 29,126.982794496425,37.55795184088171
1421,투썸플레이스가산대성디폴리스점,가산대성디폴리스점,Q12,서울특별시 금천구 서부샛길 606,126.876995544881,37.479944901835296
1422,코코브루니,미아점,Q12,서울특별시 성북구 동소문로 315,127.028725560472,37.6083915431599
1431,동네목수의작은카페,,Q12,서울특별시 성북구 삼선교로4라길 4,127.00761323413201,37.5820136703881
1436,카페루카코리아,,Q12,서울특별시 종로구 창경궁로 77,126.997650562969,37.5692968895264
1440,300420,,Q12,서울특별시 영등포구 경인로 775,126.89752537882099,37.5147384071488
1441,파스텔드나따,,Q12,서울특별시 동대문구 회기로 134-1,127.051402887448,37.59123095555171
1453,까페더블해피니스,,Q12,서울특별시 영등포구 영중로 9,126.90555490850001,37.517182828821994
1476,오가다,,Q12,서울특별시 영등포구 의사당대로 101,126.923948554327,37.5218931054506
1504,후니드브로드카페,,Q12,서울특별시 동작구 여의대방로 74,126.914475734007,37.49639694289429
1524,쉬어가는모퉁이커피한잔,,Q12,서울특별시 동작구 상도로55길 1,126.95341217171499,37.4972258775655
1557,사주카페자미,,Q12,서울특별시 서대문구 이화여대1안길 12,126.944451411423,37.5577233879368
1572,신세계푸드,,Q12,서울특별시 강남구 강남대로 298,127.032148559881,37.49003999953911
1604,드림커피,,Q12,서울특별시 강서구 양천로 482,126.85390858506901,37.5612491785923
1610,주스에비뉴,,Q12,서울특별시 강남구 남부순환로 2907,127.05708145232799,37.491953639594605
1615,카페바우하우스,,Q12,서울특별시 서초구 남부순환로 2364,127.009808267822,37.4777086304152
1616,카페에스비,,Q12,서울특별시 양천구 남부순환로 435,126.833256954218,37.5289881225617
1644,엠즈씨드폴바셋,여의도점,Q12,서울특별시 영등포구 여의대로 66,126.923695587992,37.5245398691431
1651,지붕,,Q12,서울특별시 중랑구 용마산로 615,127.100606665203,37.6059878107527
1665,카페산다,,Q12,서울특별시 관악구 낙성대로 22-13,126.95837343995501,37.4771131998525
1711,카페레인,,Q12,서울특별시 강서구 양천로14길 85-2,126.808869889688,37.5691829194914
1712,스타벅스,신사2점,Q12,서울특별시 서초구 강남대로 581,127.019762756075,37.5136626341355
1726,투썸플레이스코엑스메가박스점,코엑스메가박스점,Q12,서울특별시 강남구 영동대로 513,127.057100286394,37.5129393969289
1729,탐엔탐스,신도림테크노점,Q12,서울특별시 구로구 새말로 97,126.89020763235001,37.507038039776894
1738,공차,현대백화점무역센터점,Q12,서울특별시 강남구 테헤란로 517,127.05974496334998,37.5086083814458
1750,카페샤빌레,등촌점,Q12,서울특별시 강서구 양천로 600,126.864658478395,37.5554692961595
1753,북아현마을북까페,,Q12,서울특별시 서대문구 북아현로 24,126.95702430668699,37.5594660103025
1776,폴바셋,신문로점,Q12,서울특별시 종로구 새문안로3길 12,126.97296756317199,37.571337334618505
1779,이디야커피,이마트구로점,Q12,서울특별시 구로구 디지털로32길 43,126.897869806414,37.4843854057524
1789,화이트엔젤,,Q12,서울특별시 강동구 올림픽로70길 61,127.126969133867,37.5393908971807
1812,153커피앤해피,,Q12,서울특별시 강북구 도봉로 32,127.03068549429199,37.611840615050504
2030,미스터커피로스터리,,Q12,서울특별시 금천구 가산디지털1로 119,126.882910182892,37.4760543861366
2136,에이치파이브-117,,Q12,서울특별시 용산구 효창원로62길 19,126.96232118280001,37.5398879726957
2164,엠즈씨드폴바셋이대점,이대점,Q12,서울특별시 서대문구 이화여대길 30,126.945915487663,37.558241050972796
3792,코와핀,,Q12,서울특별시 동대문구 답십리로11길 30-22,127.04647114997101,37.5792794223579
3807,비씨팔백,상도점,Q12,서울특별시 동작구 상도로 231,126.944486694746,37.5054451220309
4108,자양다방,,Q12,서울특별시 광진구 뚝섬로 503,127.065996968164,37.536068050633794
4210,상상아트홀카페,,Q12,서울특별시 강남구 영동대로 416,127.065312595718,37.506580139854606
4288,카페테지움,,Q12,서울특별시 강남구 삼성로 334,127.059856504817,37.50151795585921
4340,간단하지만특별한화피디Cafe,에델리아하이마트점,Q12,서울특별시 강남구 삼성로 156,127.06381542095501,37.494232808895795
4369,사주카페미즈,,Q12,서울특별시 강남구 영동대로 217,127.06836949906901,37.498143360931294
4378,할리스커피,선릉점,Q12,서울특별시 강남구 선릉로86길 11,127.05051384889799,37.5033624806187
4405,두공간,,Q12,서울특별시 은평구 연서로29길 7,126.919372438535,37.6186586837604
4433,캥스커피집,,Q12,서울특별시 광진구 능동로40길 8,127.080537744739,37.5581047424551
4444,자니로켓카페,영등포점,Q12,서울특별시 영등포구 영중로 9,126.90555490850001,37.517182828821994
4490,CAFEDURIP,,Q12,서울특별시 송파구 올림픽로 145,127.087019799804,37.511976044661395
4515,메디찌커피숍,,Q12,서울특별시 광진구 아차산로78길 147,127.10995845189801,37.5482384073485
4560,주빈커피,,Q12,서울특별시 영등포구 의사당대로 127,126.926163737378,37.520462586264294
4634,어반라이프,,Q12,서울특별시 강남구 선릉로86길 6-6,127.050408633027,37.5027399062119
4706,문스트럭,,Q12,서울특별시 강남구 도곡로 401,127.05325256561702,37.496959928714
4883,엠엠티에이치005,,Q12,서울특별시 중구 세종대로18길 8-2,126.97757706917601,37.5637275069839
4977,이디야커피,중계롯데우성점,Q12,서울특별시 노원구 노원로22길 34,127.072753764215,37.646364068414
4979,할리스도심공항점2,,Q12,서울특별시 강남구 테헤란로87길 22,127.059426824816,37.509624041536796
5035,인광로스팅커피,,Q12,서울특별시 송파구 송파대로 397,127.108994744064,37.5027277856074
5045,아카데미카페,,Q12,서울특별시 강남구 도곡로 510,127.06216110792,37.4990133147849
5101,cafe멍,,Q12,서울특별시 송파구 동남로18길 49,127.135056907272,37.492595315996496
5132,올몰,,Q12,서울특별시 강남구 테헤란로 146,127.035469247122,37.5000148174854
5165,카르페디엠,,Q12,서울특별시 영등포구 경인로 846,126.907647192475,37.515661414040004
5171,청구성심병원점,,Q12,서울특별시 은평구 통일로 873,126.919657624874,37.6208688166232
5174,카페헐리우드,,Q12,서울특별시 서대문구 성산로 551,126.945657134462,37.5653299268953
5182,르마들렝,,Q12,서울특별시 성동구 광나루로 328,127.06622133991002,37.5480177644176
5192,커피빈,코리아역삼역4번출구점,Q12,서울특별시 강남구 테헤란로 143,127.034884401544,37.50064077948029
5212,브레쉬에비뉴,우성아파트점,Q12,서울특별시 송파구 올림픽로4길 40,127.07418399122601,37.507181628428896
5235,할리스,에프앤비노원2호점,Q12,서울특별시 노원구 상계로 63-7,127.061872354359,37.656504782204706
5246,코레일유통커피엔스위트,,Q12,서울특별시 금천구 벚꽃로 115,126.8895035682,37.465979741279604
5247,백인대장카페,,Q12,서울특별시 양천구 목동동로 393,126.880078857156,37.5361902176005
5261,cafe내자리,,Q12,서울특별시 서초구 사평대로56길 7,127.023552517801,37.5032147745452
5264,SDS커피&,,Q12,서울특별시 송파구 올림픽로35길 123,127.101205783395,37.51657210971629
5268,커피커피플리즈,,Q12,서울특별시 강남구 강남대로92길 17,127.02876280516199,37.499130897972
5303,폴바셋,국회의사당역점,Q12,서울특별시 영등포구 국회대로68길 18,126.919746423142,37.5285224640854
5306,대익보이차,,Q12,서울특별시 강남구 테헤란로 119,127.030637877307,37.499308489446705
5320,부나빈,,Q12,서울특별시 서초구 양재대로2길 109,127.01376730809099,37.4560532566599
5329,테이크아웃커피전문점,,Q12,서울특별시 동작구 보라매로19길 5-1,126.927432112834,37.497443370864794
5360,미스터디저트,,Q12,서울특별시 강남구 삼성로 306,127.06086642928001,37.4994445473203
5367,할리스커피,국기원점,Q12,서울특별시 강남구 강남대로94길 28,127.029581894014,37.499633209809396
5368,폴바셋강남구청역점,강남구청역점,Q12,서울특별시 강남구 학동로 401,127.041623287901,37.5175814055205
5378,설빙,강남역2호점,Q12,서울특별시 강남구 봉은사로2길 21,127.02611857224,37.5033170530789
5379,제이에스커피랩,,Q12,서울특별시 서초구 서초대로1길 21,126.983119834993,37.4881504333416
5381,설빙,,Q12,서울특별시 동작구 보라매로3길 29,126.92483028013001,37.491184465166604
5391,커피앤,,Q12,서울특별시 송파구 충민로 66,127.124940952848,37.477608217824
5392,아라코북카페지점,,Q12,서울특별시 서초구 반포대로 201,127.002861827712,37.4976085787109
5395,토끼와거북이,,Q12,서울특별시 마포구 서강대길 12,126.93989716793301,37.549239833055
5410,카페원두마크CAFEWONDUMARK,,Q12,서울특별시 은평구 증산로17길 64,126.906824779834,37.5921339059208
5421,블렌드13,,Q12,서울특별시 금천구 가산디지털2로 14,126.88423743956801,37.469669485630796
5527,코레일유통커피앤스위트,가산점,Q12,서울특별시 금천구 벚꽃로 309,126.882545204463,37.481583364236705
5559,폴바셋서울세관사거리,,Q12,서울특별시 강남구 언주로 702,127.03572975017599,37.515812425560604
5608,"커피,와+,버블티",,Q12,서울특별시 강서구 초록마을로 36,126.84681689566901,37.5425557590345
6282,DUDART,,Q12,서울특별시 강동구 구천면로 202,127.127074087312,37.5400944963541
6323,핸즈온캠퍼스,,Q12,서울특별시 용산구 청파로 74,126.959600845599,37.5328899510721
6335,커피빈,광장동대한제지점,Q12,서울특별시 광진구 아차산로 563,127.102911969818,37.544130344049
6358,카페이룸대치점,대치점,Q12,서울특별시 강남구 도곡로 510,127.06216110792,37.4990133147849
6379,엔커피,,Q12,서울특별시 금천구 디지털로9길 99,126.88479397684401,37.481667685685004
6381,lcm,,Q12,서울특별시 중구 다산로 107,127.009607812556,37.553656562686896
6407,킹커피,,Q12,서울특별시 중구 동호로 241,127.00665575652201,37.5586325633875
6433,xoxo,,Q12,서울특별시 광진구 능동로 139,127.071870416413,37.5432957430476
6461,카페스타,,Q12,서울특별시 광진구 능동로 141,127.071970799993,37.5434136687038
6466,커피앤브레드,,Q12,서울특별시 강남구 도산대로25길 38,127.02636097172399,37.5220969937796
6498,에르마노키즈카페,,Q12,서울특별시 강동구 상암로 195,127.14417678933201,37.546617181965
6527,JUSTGUINNESS,,Q12,서울특별시 강남구 도산대로16길 6,127.024407200618,37.517494517806
6531,율리커피,,Q12,서울특별시 서초구 바우뫼로37길 44,127.038568202188,37.4805952678912
