지역,공원명,면적,공원주소,lng,lat
서초구,청계산도시자연공원,3692455.0,서울특별시 서초구 원지동 산 33,127.0424726,37.422434700000004
강서구,개화근린공원,386500.0,서울특별시 강서구 개화동 산17,126.8068278,37.581391700000005
광진구,아차산생태공원,23450.0,서울특별시 광진구 광장동 370,127.1010031,37.551714200000006
서초구,인능산도시자연공원,2400833.0,서울특별시 서초구 내곡동 산12-404,127.0666632,37.4482109
서초구,구룡산,2752421.0,서울특별시 서초구 염곡동 산25-1,127.061567,37.468947299999996
서초구,우면산도시자연공원,4180551.0,서울특별시 서초구 우면동 산35-1,127.0091324,37.470484
은평구,향림근린공원,147859.0,서울특별시 은평구 진관동 산55,126.9240693,37.6293824
은평구,신사근린공원,111650.0,서울특별시 은평구 신사동 산80-4,126.91029479999999,37.5920771
강남구,광평근린공원,519782.0,서울특별시 강남구 수서동 산10-1,127.092184,37.4880445
강남구,청담근린공원,59347.0,서울특별시 강남구 청담동 66,127.052453,37.521325899999994
강동구,허브천문공원,25500.0,서울특별시 강동구 둔촌동 산94,127.15339509999998,37.5372715
은평구,연신내물빛공원,2560.0,서울특별시 은평구 통일로 849,126.9207354,37.619052
중랑구,나들이근린공원,32000.0,서울특별시 중구 망우동 산 30-7 일대,127.11326100000001,37.6054218
종로구,숭인근린공원,45615.0,서울특별시 종로구 숭인동 58,127.0178267,37.5764419
중랑구,서일대뒷산공원,631021.0,서울특별시 중랑구 면목동 산19,127.0987817,37.5877155
중랑구,용마도시자연공원(사가정공원),109635.0,서울특별시 중랑구 면목7동 산50 ,127.095997,37.579762200000005
마포구,문화비축기지,140022.0,서울특별시 마포구 증산로 87,126.89324548146364,37.571718477306064
노원구,경춘선숲길,211392.0,노원구 공릉2동 산 82-2,127.07648200000001,37.627077
강남구,율현공원,157535.0,서울특별시 강남구 율현동 밤고개로24길(율현동 56),127.11559399999999,37.472332
