인구수,공원수,공원면적,구면적,오차,인구대비공원면적,공원면적비율,반려인비율
544085,7,3626398.5,39.5,3.319078142494451,6.665132286315557,9180755.696202531,23.5
462275,7,1526389.3,24.59,0.025518064038053012,3.301907522578552,6207357.86905246,20.3
313550,4,3714902.4,23.6,1.1744955824223382,11.847878807207781,15741111.86440678,18.8
589536,9,2194154.1,41.44,0.5031970554312188,3.7218322545188083,5294773.407335907,19.8
514555,2,10431453.08,29.57,2.2597802595572425,20.272765943387977,35277149.40818397,17.1
361923,2,584002.0,17.06,1.2379133080446252,1.6136084194704399,3423223.915592028,21.6
435751,3,1617657.0,20.12,0.28318486028081225,3.7123425993285157,8040044.731610338,20.5
249641,4,57568.0,13.02,0.15588828707974045,0.2306031461178252,442150.5376344086,20.3
529532,3,12235699.3,35.44,2.0165563133806614,23.10662868344123,34525110.89164786,21.4
329300,6,1084218.0,20.66,1.104671677264669,3.292493167324628,5247909.002904163,19.2
358679,4,458663.7,14.22,0.4683087467237037,1.2787581653790716,3225483.1223628693,19.9
404617,7,3706739.0999999996,16.35,3.2435641679637115,9.161105687600866,22671187.155963298,23.0
383494,5,2685112.6999999997,23.85,0.38445062760607485,7.001707197505045,11258334.171907755,20.5
323860,4,3321476.6,17.63,2.1769896106784756,10.255902550484779,18839912.648893934,17.7
429995,6,13359636.0,46.98,2.2249851113104953,31.069282200955826,28436858.237547893,21.8
302695,5,626838.7,16.86,1.5528143574340945,2.070859115611424,3717904.5077105574,18.8
449871,3,1198327.0,24.57,1.68366356697981,2.6637124864683432,4877195.767195767,22.0
676673,7,2838992.8,33.87,0.8060544005957233,4.195516593687054,8382027.753173901,19.4
460048,5,1203428.5,17.41,2.852300959734791,2.6158759520745662,6912283.170591613,17.4
405982,5,424446.0,24.55,4.484600334963531,1.0454798488602943,1728904.2769857435,24.9
244953,2,247194.1,21.87,1.3342355356987206,1.0091491020726426,1130288.5230909921,19.1
485842,6,2986459.0,29.71,2.5535064976091633,6.146975765783938,10052032.98552676,17.6
159842,12,3907680.57,23.91,0.05554762796544921,24.447145118304324,16343289.711417817,19.9
135321,3,2943303.8000000003,9.96,2.139949980044115,21.75053243768521,29551242.97188755,17.4
400989,6,7078975.0,18.5,0.23422608117736132,17.653788507914182,38264729.72972973,19.5
