title,writer,price
"IT CookBook, 데이터베이스 개론(2판)",김연희 ,27000
스트랭 미분적분학,Gilbert Strang ,34000
"IT CookBook, 데이터 과학을 위한 파이썬 프로그래밍",최성철 ,25000
"IT CookBook, 데이터베이스 for Beginner",우재남 ,24000
한번에 통과하는 논문 : AMOS 구조방정식 활용과 SPSS 고급 분석,히든그레이스 논문통계팀 ,28000
공학도라면 반드시 알아야 할 최소한의 과학,John Bird ,24000
"IT CookBook, 전공자를 위한 C 언어 프로그래밍",주우석 ,29000
"IT CookBook, design school 프리미어 프로 CC",강재신 ,25000
"IT CookBook, design school 일러스트레이터 CC",이영주 ,23000
"IT CookBook, 모바일 & 데스크톱을 위한 웹 기획 프로세스",강은정 ,24000
"IT CookBook, 시스템 해킹과 보안(3판)",양대일 ,27000
"IT CookBook, 자바 프로그래밍 for Beginner",우재남 ,26000
"IT CookBook, 쉽게 배우는 JSP 웹 프로그래밍",송미영 ,27000
NCS를 기반으로 한 직무 기초수학,"이광연 , 조성훈 , 최상일 ",22000
수치해석학 바이블,"Ward Cheney , David Kincaid ",32000
MATLAB으로 배우는 공학 수치해석(개정판),방성완 ,24000
"IT CookBook, 모바일 UI/UX 디자인 실무",이영주 ,28000
"IT CookBook, C 언어 for Beginner(개정3판)",우재남 ,23000
"IT CookBook, R로 배우는 딥러닝","박혜정 , 석경하 , 심주용 , 황창하 ",23000
"IT CookBook, 쉽게 배우는 운영체제",조성호 ,28000
"SWedu, 엔트리파이선","정영식 , 홍은미 , 김슬기 , 김성훈 ",22000
"IT CookBook, 엑셀 2016",김지연 ,19000
만만한 통계 : Excel 활용,닐 샐카인드(Neil J. Salkind) ,26000
문과생도 이해하는 확률과 통계,야마모토 토시로 ,20000
수식이 보이는 공학수학 : Engineering Mathematics (개정판),장윤석 ,24000
"IT CookBook, 핵심이 보이는 전자회로 with PSPICE(개정판)",신경욱 ,32000
MOS 2016 액세스,"김경희 , 오해강 ",14000
MATLAB으로 배우는 공학수학 : Engineering Mathematics (개정판),소상균 ,28000
한번에 통과하는 논문 : SPSS 결과표 작성과 해석 방법,히든그레이스 논문통계팀 ,23000
"IT CookBook, C++ 트레이닝",김상형 ,26000
4차 산업혁명 시대의 기업 혁신을 위한 비즈니스 프로세스,"정승렬 , 이정규 ",29000
"IT CookBook, 핵심이 보이는 제어공학(개정판)",김성중 ,26000
"IT CookBook, 우분투 리눅스(개정판)",이종원 ,31000
쉽고 빠르게 합격하는 COS 2급,이연란 ,16200
생각하며 배우는 대학물리학,이기영 ,30000
"IT CookBook, 소프트웨어 세상을 여는 컴퓨터 과학",김종훈 ,22000
"IT CookBook, 쉽게 배우는 알고리즘(개정판)",문병로 ,27000
MOS 2016 아웃룩,"김경희 , 오해강 ",14000
"IT CookBook, 확률과 랜덤 과정",정호영 ,23000
"IT CookBook, 기초부터 시작하는 PLC: 지멘스 S7-1500",정완보 ,23000
"IT CookBook, 정보 보안 개론 개정3판",양대일 ,28000
미분적분학 에센스,제임스 스튜어트 ,28000
미분적분학 바이블,제임스 스튜어트 ,34000
"IT CookBook, 기초 회로이론(개정 2판)",최윤식 ,24000
"IT CookBook , 엑셀과 파워포인트 2016",김지연 ,22000
"IT CookBook, 기본 개념과 핵심 원리로 배우는 C++ 프로그래밍",김화수 ,28000
"SWedu, 파이선으로 쉽게 배우는 프로그래밍 입문",조인석 ,21000
"IT CookBook, 단계별로 배우는 안드로이드 프로그래밍",김선우 ,35000
기계 학습,오일석 ,32000
"IT CookBook, C 언어 트레이닝",김상형 ,25000
code.org를 활용한 컴퓨팅 사고력과 코딩 교육,"제인 크라우스 , 키키 프롯츠만 ",19000
"IT CookBook, 디지털 영상처리","심동규 , 임웅 ",28000
"IT CookBook, 전기전자공학 개론(개정 6판)","Stan Gibilisco , Simon Monk ",32000
"IT CookBook, 핵심이 보이는 전자회로 실험 with PSPICE",신경욱 ,25000
"IT CookBook, 페도라 리눅스(개정판)",이종원 ,29000
한번에 통과하는 논문 : 논문 검색과 쓰기 전략,히든그레이스 논문통계팀 ,18900
"SWedu, 비트브릭","김경하 , 박승미 , 최선경 , 이민아 , 김진선 , 강병수 , 이신영 ",19000
MOS 2016 워드 Expert,"김경희 , 오해강 ",14000
공학도라면 반드시 알아야 할 최소한의 수학,John Bird ,22000
MOS 2016 엑셀 Expert,"김경희 , 오해강 ",14000
MOS 2016 파워포인트,"김경희 , 오해강 ",14000
4차 산업혁명 시대의 경영정보시스템,이동훈 ,28000
"IT CookBook, 쉽게 배우는 자바 프로그래밍",우종정 ,27000
"IT CookBook, 차세대 웹 프로그래밍",홍성용 ,26000
개념이 잡히는 디지털 전자회로,강영국 ,29000
"IT CookBook, 유닉스 시스템 프로그래밍",이종원 ,25000
문과생도 이해하는 전기전자수학,야마시타 아키라 ,20000
확률과 통계 입문 : Basic Probability & Statistics,이재원 ,20000
기초 미분적분학(개정판) : Pre Calculus,함남우 ,22000
"IT CookBook, 인터넷 해킹과 보안 개정3판",김경곤 ,25000
"IT CookBook, MFC 윈도우 프로그래밍",강경우 ,27000
"IT CookBook, 웹 디자인 이론과 실습",강은정 ,25000
"IT CookBook, 기초부터 시작하는 PLC : 멜섹Q",정완보 ,23000
"IT CookBook, C로 시작하는 컴퓨터 프로그래밍 개정3판","문호석 , 손명호 ",20000
객체지향 소프트웨어 공학,최은만 ,29000
기초 공업수학,마인숙 ,20000
"IT CookBook, 반도체 공학(개정판)",김동명 ,35000
"IT CookBook, 기초 통신이론",김영길 ,22000
데이터 아이코놀로지,박진완 ,26000
"IT CookBook, 임베디드 리눅스 기초와 응용","우종정 , 사공준 ",22000
"IT CookBook, 컴퓨팅 사고력을 키우는 이산수학(개정판)",박주미 ,25000
easy LED : 초보자를 위한 LED 가이드북,홍순관 ,18000
"IT CookBook, 디지털 시스템 설계 및 실습 with VHDL & Verilog HDL",노승환 ,25000
"IT CookBook, 기초 전기전자 에센스","모현선 , 장성용 , 홍익표 ",25000
"IT CookBook, 비주얼 베이직 2015 for Beginner",임관철 ,24000
