상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도,icon,color
12553941,스타벅스,마곡GMG점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150060300,가양1동,1150010500.0,마곡동,1150010500207730002,1,대지,773,2.0,서울특별시 강서구 마곡동 773-2,115003155054,서울특별시 강서구 마곡중앙6로,16,,1150010500107271088000001,마곡지엠지타워,서울특별시 강서구 마곡중앙6로 16,157805.0,7801.0,,1,117,126.82898701343201,37.560391911309,map-marker,green
14056872,스타벅스마곡나루역점,마곡나루역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150060300,가양1동,1150010500.0,마곡동,1150010500207590003,1,대지,759,3.0,서울특별시 강서구 마곡동 759-3,115003155045,서울특별시 강서구 마곡중앙로,161,17.0,1150010500107590003000001,보타닉파크타워Ⅰ,서울특별시 강서구 마곡중앙로 161-17,157805.0,7788.0,,1,204,126.825946975642,37.5680294825785,map-marker,green
16066767,스타벅스,방화DT점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150063000,방화1동,1150010900.0,방화동,1150010900202930004,1,대지,293,4.0,서울특별시 강서구 방화동 293-4,115002115001,서울특별시 강서구 방화대로,375,,1150010900102930004004849,,서울특별시 강서구 방화대로 375,157847.0,7517.0,,,,126.816370981046,37.5744392795603,map-marker,green
16219933,스타벅스,마곡사이언스타워R점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150060300,가양1동,1150010500.0,마곡동,1150010500207960003,1,대지,796,3.0,서울특별시 강서구 마곡동 796-3,115003155046,서울특별시 강서구 마곡동로,62,,1150010500107960003000001,마곡사이언스타워,서울특별시 강서구 마곡동로 62,157805.0,7803.0,,7,,126.83387431159099,37.5605394004382,map-marker,green
16025105,스타벅스방화DT,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150063000,방화1동,1150010900.0,방화동,1150010900202930004,1,대지,293,4.0,서울특별시 강서구 방화동 293-4,115002115001,서울특별시 강서구 방화대로,375,,1150010900102930004004849,,서울특별시 강서구 방화대로 375,157847.0,7517.0,,,2,126.816370981046,37.5744392795603,map-marker,green
23383073,이디야커피,우장산역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150056000,화곡3동,1150010300.0,화곡동,1150010300210060001,1,대지,1006,1.0,서울특별시 강서구 화곡동 1006-1,115004145052,서울특별시 강서구 강서로45길,5,,1150010300110060001021010,,서울특별시 강서구 강서로45길 5,157010.0,7705.0,,1,,126.83580355579201,37.5478448766996,cloud,red
23483354,이디야커피,방화사거리점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150063000,방화1동,1150010900.0,방화동,1150010900205690012,1,대지,569,12.0,서울특별시 강서구 방화동 569-12,115003115008,서울특별시 강서구 양천로,72,,1150010900105690012004717,해성빌딩,서울특별시 강서구 양천로 72,157220.0,7604.0,,1,,126.811693143262,37.5731668844251,cloud,red
20441439,이디야커피,등촌역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150053000,등촌2동,1150010200.0,등촌동,1150010200205090001,1,대지,509,1.0,서울특별시 강서구 등촌동 509-1,115003005064,서울특별시 강서구 등촌로,217,,1150010200105090001025804,희망찬교회,서울특별시 강서구 등촌로 217,157030.0,7667.0,,1,,126.86329407394301,37.5491759557566,cloud,red
20318848,이디야커피,염창동점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150051000,염창동,1150010100.0,염창동,1150010100202640037,1,대지,264,37.0,서울특별시 강서구 염창동 264-37,115003115008,서울특별시 강서구 양천로,684,,1150010100102640037028113,부성빌딩,서울특별시 강서구 양천로 684,157862.0,7555.0,,1,,126.871940483475,37.550655486055796,cloud,red
20818224,이디야커피,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150060300,가양1동,1150010400.0,가양동,1150010400215000000,1,대지,1500,,서울특별시 강서구 가양동 1500,115004145412,서울특별시 강서구 양천로55길,55,,1150010400100520001000001,강서한강자이,서울특별시 강서구 양천로55길 55,157200.0,7528.0,,1,,126.848101050873,37.5664636928306,cloud,red
